trade_id,entry_date,exit_date,type,entry_price,exit_price,pnl_points,pnl_twd,return_pct,duration_days,cumulative_equity
1,2020-04-20,2020-04-22,LONG (做多),10586.7,10307.7,-279.0,-2789.7,-2.64,2,179805.2
2,2020-04-28,2020-05-06,LONG (做多),10616.1,10775.0,158.9,1589.2,1.5,8,186916.2
3,2020-05-07,2020-05-14,LONG (做多),10842.9,10780.9,-62.0,-620.4,-0.57,7,194637.7
4,2020-05-18,2020-05-25,LONG (做多),10740.5,10871.2,130.6,1306.3,1.22,7,193730.2
5,2020-05-27,2020-06-03,LONG (做多),11014.7,11320.2,305.5,3055.0,2.77,7,201036.0
6,2020-06-04,2020-06-10,LONG (做多),11393.2,11720.2,326.9,3269.3,2.87,6,220446.2
7,2020-06-11,2020-06-15,LONG (做多),11535.8,11306.3,-229.5,-2295.1,-1.99,4,201691.0
8,2020-06-17,2020-06-24,LONG (做多),11534.6,11660.7,126.1,1260.8,1.09,7,206436.9
9,2020-07-01,2020-07-08,LONG (做多),11703.4,12170.2,466.8,4667.7,3.99,7,234850.9
10,2020-07-13,2020-07-20,LONG (做多),12211.6,12174.5,-37.0,-370.2,-0.3,7,241422.0
11,2020-07-21,2020-07-28,LONG (做多),12397.5,12586.7,189.2,1891.8,1.53,7,268881.6
12,2020-07-29,2020-08-05,LONG (做多),12541.0,12802.3,261.3,2613.3,2.08,7,276667.7
13,2020-08-06,2020-08-12,LONG (做多),12913.5,12670.3,-243.2,-2431.5,-1.88,6,274256.2
14,2020-08-14,2020-08-21,LONG (做多),12795.5,12607.8,-187.6,-1876.2,-1.47,7,248724.5
15,2020-08-26,2020-09-01,LONG (做多),12833.3,12703.3,-130.0,-1300.1,-1.01,6,238911.5
16,2020-09-03,2020-09-10,LONG (做多),12758.0,12691.8,-66.2,-662.2,-0.52,7,233499.0
17,2020-09-11,2020-09-18,LONG (做多),12676.0,12875.6,199.7,1996.7,1.58,7,242428.3
18,2020-10-07,2020-10-15,LONG (做多),12746.4,12827.8,81.5,814.5,0.64,8,255245.6
19,2020-10-21,2020-10-28,LONG (做多),12877.2,12793.8,-83.5,-835.0,-0.65,7,255525.9
20,2020-11-04,2020-11-10,LONG (做多),12867.9,13081.7,213.8,2138.2,1.66,6,285973.6
21,2020-11-12,2020-11-19,LONG (做多),13221.8,13722.4,500.6,5006.5,3.79,7,327948.2
22,2020-11-26,2020-12-01,LONG (做多),13845.7,13885.7,40.0,400.1,0.29,5,325823.3
23,2020-12-02,2020-12-09,LONG (做多),13989.1,14390.1,401.0,4010.0,2.87,7,366207.1
24,2020-12-10,2020-12-16,LONG (做多),14249.5,14304.5,55.0,549.7,0.39,6,338196.5
25,2020-12-17,2020-12-24,LONG (做多),14258.9,14280.3,21.4,213.5,0.15,7,331859.7
26,2020-12-25,2020-12-31,LONG (做多),14331.4,14732.5,401.1,4011.1,2.8,6,359095.0
27,2021-01-04,2021-01-08,LONG (做多),14902.0,15464.0,561.9,5619.2,3.77,4,404056.4
28,2021-01-25,2021-01-27,LONG (做多),15946.5,15701.5,-245.1,-2450.9,-1.54,2,372820.1
29,2021-02-03,2021-02-19,LONG (做多),15771.3,16341.4,570.1,5700.6,3.61,16,419984.0
30,2021-02-23,2021-03-02,LONG (做多),16443.4,15946.9,-496.5,-4965.2,-3.02,7,378761.1
31,2021-03-15,2021-03-22,LONG (做多),16249.3,16189.2,-60.1,-601.1,-0.37,7,363341.3
32,2021-03-23,2021-03-31,LONG (做多),16177.6,16431.1,253.5,2535.4,1.57,8,388822.0
33,2021-04-07,2021-04-14,LONG (做多),16815.4,16866.0,50.6,506.1,0.3,7,407585.5
34,2021-04-16,2021-04-23,LONG (做多),17158.8,17300.3,141.5,1414.6,0.82,7,408343.1
35,2021-04-27,2021-05-04,LONG (做多),17595.9,16933.8,-662.1,-6621.2,-3.76,7,380138.2
36,2021-05-10,2021-05-12,LONG (做多),17235.6,15902.4,-1333.2,-13332.4,-7.74,2,335312.6
37,2021-05-26,2021-06-03,LONG (做多),16643.7,17246.2,602.5,6024.7,3.62,8,374734.9
38,2021-06-04,2021-06-11,LONG (做多),17147.4,17213.5,66.1,661.1,0.39,7,367463.5
39,2021-06-15,2021-06-22,LONG (做多),17371.3,17075.6,-295.7,-2957.4,-1.7,7,355589.1
40,2021-06-24,2021-07-01,LONG (做多),17408.0,17713.9,306.0,3059.8,1.76,7,384628.3
41,2021-07-06,2021-07-12,LONG (做多),17913.1,17814.3,-98.7,-987.4,-0.55,6,365371.6
42,2021-07-13,2021-07-20,LONG (做多),17847.5,17528.7,-318.8,-3187.8,-1.79,7,362784.1
43,2021-08-03,2021-08-10,LONG (做多),17553.8,17323.6,-230.1,-2301.2,-1.31,7,361191.8
44,2021-08-30,2021-09-06,LONG (做多),17396.5,17495.3,98.8,987.8,0.57,7,382458.4
45,2021-09-07,2021-09-09,LONG (做多),17428.9,17304.3,-124.5,-1245.4,-0.71,2,365302.7
46,2021-09-13,2021-09-17,LONG (做多),17446.3,17276.8,-169.5,-1695.2,-0.97,4,350973.7
47,2021-09-27,2021-09-29,LONG (做多),17313.8,16855.5,-458.3,-4583.1,-2.65,2,345856.0
48,2021-10-27,2021-11-03,LONG (做多),17074.6,17122.2,47.6,476.1,0.28,7,347454.1
49,2021-11-05,2021-11-09,LONG (做多),17296.9,17541.4,244.5,2444.6,1.41,4,372390.3
50,2021-11-15,2021-11-22,LONG (做多),17634.5,17803.5,169.1,1690.7,0.96,7,394667.2
51,2021-11-25,2021-11-29,LONG (做多),17654.2,17328.1,-326.1,-3261.0,-1.85,4,376507.8
52,2021-12-03,2021-12-10,LONG (做多),17697.1,17826.3,129.1,1291.2,0.73,7,389672.8
53,2021-12-14,2021-12-15,LONG (做多),17599.4,17660.1,60.7,607.3,0.35,1,376560.5
54,2021-12-17,2021-12-24,LONG (做多),17812.6,17961.6,149.1,1490.5,0.84,7,385838.4
55,2021-12-27,2021-12-30,LONG (做多),18048.9,18218.8,169.9,1699.0,0.94,3,407252.8
56,2022-01-10,2022-01-17,LONG (做多),18239.4,18525.4,286.1,2860.6,1.57,7,421985.9
57,2022-01-18,2022-01-20,LONG (做多),18378.6,18218.3,-160.4,-1603.6,-0.87,2,398554.0
58,2022-02-10,2022-02-15,LONG (做多),18338.1,17951.8,-386.2,-3862.4,-2.11,5,385964.2
59,2022-02-17,2022-02-23,LONG (做多),18268.6,18055.7,-212.8,-2128.4,-1.17,6,366573.6
60,2022-03-24,2022-03-28,LONG (做多),17699.1,17520.0,-179.1,-1790.5,-1.01,4,362217.0
61,2022-03-31,2022-04-06,LONG (做多),17693.5,17522.5,-171.0,-1709.7,-0.97,6,353738.9
62,2022-06-01,2022-06-06,LONG (做多),16675.1,16606.0,-69.1,-691.3,-0.41,5,335113.6
63,2022-06-09,2022-06-10,LONG (做多),16621.3,16460.1,-161.2,-1612.2,-0.97,1,331231.4
64,2022-08-12,2022-08-19,LONG (做多),15289.0,15408.8,119.8,1198.1,0.78,7,345437.2
65,2022-08-22,2022-08-23,LONG (做多),15245.1,15095.9,-149.2,-1492.5,-0.98,1,332392.1
66,2022-08-29,2022-08-30,LONG (做多),14926.2,14953.6,27.4,274.4,0.18,1,309778.0
67,2022-11-10,2022-11-11,LONG (做多),13503.8,14007.6,503.8,5038.0,3.73,1,298773.1
68,2022-11-14,2022-11-16,LONG (做多),14174.9,14537.3,362.4,3624.5,2.56,2,338007.8
69,2022-12-12,2022-12-19,LONG (做多),14612.6,14433.3,-179.3,-1792.7,-1.23,7,325457.8
70,2023-01-06,2023-01-11,LONG (做多),14373.3,14751.4,378.1,3781.0,2.63,5,365193.4
71,2023-01-12,2023-01-31,LONG (做多),14731.6,15265.2,533.6,5335.6,3.62,19,428424.8
72,2023-02-09,2023-02-16,LONG (做多),15598.7,15550.5,-48.2,-482.1,-0.31,7,410252.6
73,2023-02-17,2023-02-24,LONG (做多),15479.7,15503.8,24.1,240.9,0.16,7,414304.6
74,2023-03-01,2023-03-08,LONG (做多),15598.5,15818.2,219.7,2197.1,1.41,7,441426.0
75,2023-03-10,2023-03-13,LONG (做多),15526.2,15560.5,34.3,342.9,0.22,3,417450.1
76,2023-03-22,2023-03-29,LONG (做多),15760.5,15769.8,9.3,93.0,0.06,7,422891.2
77,2023-03-31,2023-04-12,LONG (做多),15868.1,15933.0,64.9,649.1,0.41,12,428016.7
78,2023-04-17,2023-04-20,LONG (做多),15963.5,15707.5,-256.0,-2560.3,-1.6,3,412859.1
79,2023-05-02,2023-05-04,LONG (做多),15636.5,15609.0,-27.5,-274.5,-0.18,2,409792.2
80,2023-05-09,2023-05-12,LONG (做多),15727.7,15502.4,-225.3,-2253.4,-1.43,3,392797.1
81,2023-05-17,2023-05-22,LONG (做多),15925.3,16180.9,255.6,2556.0,1.6,5,437249.5
82,2023-05-24,2023-05-30,LONG (做多),16159.3,16622.7,463.4,4634.2,2.87,6,481425.1
83,2023-06-12,2023-06-19,LONG (做多),16955.4,17274.6,319.2,3191.9,1.88,7,521777.5
84,2023-06-26,2023-06-27,LONG (做多),17059.2,16887.9,-171.3,-1713.4,-1.0,1,508560.7
85,2023-07-04,2023-07-07,LONG (做多),17140.8,16664.2,-476.6,-4765.6,-2.78,3,480264.4
86,2023-07-12,2023-07-18,LONG (做多),16962.0,17227.9,265.9,2658.8,1.57,6,523478.1
87,2023-07-19,2023-07-20,LONG (做多),17116.4,17164.9,48.5,484.5,0.28,1,511174.5
88,2023-07-26,2023-08-02,LONG (做多),17162.6,16893.7,-268.8,-2688.2,-1.57,7,511540.0
89,2023-08-25,2023-08-28,LONG (做多),16481.6,16509.3,27.7,276.8,0.17,3,480761.7
90,2023-08-31,2023-09-01,LONG (做多),16634.5,16644.9,10.4,104.3,0.06,1,471676.9
91,2023-09-05,2023-09-08,LONG (做多),16791.6,16576.0,-215.6,-2155.9,-1.28,3,454758.8
92,2023-09-15,2023-09-19,LONG (做多),16920.9,16636.3,-284.6,-2846.0,-1.68,4,443688.9
93,2023-10-12,2023-10-19,LONG (做多),16825.9,16452.7,-373.2,-3731.8,-2.22,7,421942.9
94,2023-11-06,2023-11-13,LONG (做多),16649.4,16839.3,189.9,1899.3,1.14,7,435011.9
95,2023-11-14,2023-11-17,LONG (做多),16915.7,17208.9,293.2,2932.4,1.73,3,464602.2
96,2023-11-28,2023-12-05,LONG (做多),17341.2,17328.0,-13.2,-132.4,-0.08,7,489793.0
97,2023-12-08,2023-12-15,LONG (做多),17384.0,17673.9,289.9,2898.8,1.67,7,520218.2
98,2023-12-18,2023-12-25,LONG (做多),17652.0,17604.8,-47.2,-471.9,-0.27,7,511625.6
99,2023-12-26,2024-01-02,LONG (做多),17751.7,17853.8,102.0,1020.3,0.57,7,539912.1
100,2024-01-23,2024-01-30,LONG (做多),17874.6,18034.6,160.0,1600.4,0.9,7,570859.6
101,2024-01-31,2024-02-01,LONG (做多),17889.6,17968.1,78.5,785.5,0.44,1,554424.7
102,2024-02-05,2024-02-20,LONG (做多),18096.1,18753.2,657.1,6570.9,3.63,15,613369.7
103,2024-02-23,2024-03-04,LONG (做多),18889.2,19305.3,416.1,4161.2,2.2,10,621557.7
104,2024-03-21,2024-03-28,LONG (做多),20199.1,20146.6,-52.5,-525.4,-0.26,7,658526.4
105,2024-03-29,2024-04-09,LONG (做多),20294.4,20796.2,501.8,5017.5,2.47,11,687522.2
